date,ENSEMBLE,EURAD-IM
2020-02-25,39.6873664855957,43.00667190551758
2020-02-26,15.19029712677002,10.709948539733887
2020-02-27,11.905545234680176,11.572287559509277
2020-02-28,10.089150428771973,10.074328422546387
2020-02-29,27.172456741333008,17.925216674804688
2020-03-01,22.037879943847656,10.572920799255371
2020-03-02,20.34360694885254,10.0034761428833
2020-03-03,10.41848087310791,7.83943510055542
2020-03-04,17.4507999420166,16.030712127685547
2020-03-05,26.39927101135254,15.517163276672363
2020-03-06,12.119112968444824,10.005906105041504
2020-03-07,12.885250091552734,6.1705145835876465
2020-03-08,23.657691955566406,22.876401901245117
2020-03-09,47.04669189453125,22.69223976135254
2020-03-10,17.212778091430664,17.061023712158203
2020-03-11,19.158559799194336,26.458703994750977
2020-03-12,22.00252342224121,30.99553680419922
2020-03-13,17.109413146972656,14.65886402130127
2020-03-14,14.310465812683105,16.664396286010742
2020-03-15,22.679779052734375,22.216123580932617
2020-03-16,31.573745727539062,30.527833938598633
2020-03-17,48.97578048706055,53.844791412353516
2020-03-18,61.147518157958984,63.1893196105957
2020-03-19,59.8481330871582,59.79048538208008
2020-03-20,54.404048919677734,59.05976867675781
2020-03-21,44.53434753417969,45.6549072265625
2020-03-22,16.249284744262695,12.585362434387207
2020-03-23,12.069258689880371,9.753363609313965
2020-03-24,25.44230079650879,24.009422302246094
2020-03-25,19.421220779418945,13.78918743133545
2020-03-26,20.890356063842773,16.601598739624023
2020-03-27,27.281030654907227,20.8836727142334
2020-03-28,31.800430297851562,33.04658889770508
2020-03-29,47.53547286987305,47.728790283203125
2020-03-30,20.180601119995117,6.32246732711792
2020-03-31,14.547307014465332,14.4116849899292
2020-04-01,30.077987670898438,22.3865909576416
2020-04-02,41.48281478881836,40.17490768432617
2020-04-03,54.09756088256836,52.45734786987305
2020-04-04,51.48313903808594,35.380245208740234
2020-04-05,31.629133224487305,21.09878921508789
2020-04-06,31.456832885742188,29.49077033996582
2020-04-07,29.155858993530273,30.18553352355957
2020-04-08,29.364837646484375,27.1296443939209
2020-04-09,36.691165924072266,39.73191833496094
2020-04-10,45.99204635620117,35.04713821411133
2020-04-11,30.59885597229004,30.35256004333496
2020-04-12,14.335909843444824,25.232900619506836
2020-04-13,16.600168228149414,19.899757385253906
2020-04-14,12.552699089050293,12.0939302444458
2020-04-15,17.09180450439453,18.06230926513672
2020-04-16,30.53566551208496,40.40656280517578
2020-04-17,15.515056610107422,24.5052490234375
2020-04-18,16.12110137939453,20.4904842376709
2020-04-19,18.08123779296875,23.298917770385742
2020-04-20,14.089823722839355,4.497582912445068
2020-04-21,15.535235404968262,10.274985313415527
2020-04-22,15.699110984802246,13.2472562789917
2020-04-23,23.645692825317383,21.152074813842773
2020-04-24,28.676605224609375,36.11869214928669
2020-04-25,16.627700805664062,20.732702255249023
2020-04-26,16.616003036499023,21.62865447998047
2020-04-27,12.501541137695312,14.197159767150879
2020-04-28,11.900464057922363,13.973477363586426
2020-04-29,11.33672046661377,11.820256233215332
2020-04-30,17.260316848754883,13.845230102539062
2020-05-01,17.32488250732422,12.241189002990723
2020-05-02,6.610307693481445,6.395346164703369
2020-05-03,10.918453216552734,8.013542175292969
2020-05-04,12.912701606750488,11.019363403320312
2020-05-05,9.45649528503418,12.979453086853027
2020-05-06,13.005600929260254,14.060500144958496
2020-05-07,20.77526092529297,21.65252113342285
2020-05-08,19.67249298095703,20.483158111572266
2020-05-09,7.76989221572876,11.012176513671875
2020-05-10,13.299349784851074,16.44636344909668
2020-05-11,8.363913536071777,4.381088733673096
2020-05-12,10.104647636413574,7.833193302154541
2020-05-13,8.919475555419922,11.55716323852539
2020-05-14,12.785358428955078,10.89599609375
2020-05-15,7.849750995635986,10.81455135345459
2020-05-16,10.266777992248535,17.55255126953125
2020-05-17,14.964004516601562,15.375717163085938
2020-05-18,16.814924240112305,16.91576385498047
2020-05-19,16.256317138671875,11.967094421386719
2020-05-20,16.046789169311523,13.726799011230469
2020-05-21,15.567282676696777,15.228981018066406
2020-05-22,17.00930404663086,17.195112228393555
2020-05-23,10.178717613220215,10.2593994140625
2020-05-24,8.45088005065918,4.695931911468506
2020-05-25,10.010916709899902,7.259983062744141
2020-05-26,10.002371788024902,7.729899883270264
2020-05-27,12.098431587219238,11.962965965270996
2020-05-28,19.10910987854004,17.41234016418457
2020-05-29,10.001962661743164,8.372836112976074
2020-05-30,16.096437454223633,11.120862007141113
2020-05-31,11.239280700683594,9.795147895812988
2020-06-01,14.180862426757812,12.432475090026855
2020-06-02,16.291385650634766,14.446297645568848
2020-06-03,13.954241752624512,13.650508880615234
2020-06-04,7.730279445648193,5.778278827667236
2020-06-05,5.469396114349365,5.42741060256958
2020-06-06,11.422154426574707,7.576554775238037
2020-06-07,7.172481536865234,8.542323112487793
2020-06-08,5.482183456420898,8.386474609375
2020-06-09,9.02185344696045,8.483928680419922
2020-06-10,15.702522277832031,16.570892333984375
2020-06-11,12.573230743408203,12.652972221374512
2020-06-12,19.899181365966797,13.027493476867676
2020-06-13,8.090598106384277,12.766739845275879
2020-06-14,6.421640872955322,3.9414446353912354
2020-06-15,9.19649887084961,5.7408294677734375
2020-06-16,15.026325225830078,8.582413673400879
2020-06-17,10.087504386901855,9.166792869567871
2020-06-18,10.44282054901123,8.442412376403809
2020-06-19,9.120992660522461,8.69534969329834
2020-06-20,14.845234870910645,11.682342529296875
2020-06-21,6.873969554901123,8.088732719421387
2020-06-22,7.724348545074463,8.522486686706543
2020-06-23,17.335912704467773,16.727041244506836
