date,EMEP,ENSEMBLE,EURAD-IM
2020-05-24,1.6866477727890015,3.493548631668091,1.1828440427780151
2020-05-25,1.9455746412277222,2.737927198410034,3.104599952697754
2020-05-26,4.633458614349365,4.488832473754883,4.697578430175781
2020-05-27,3.338322401046753,3.791595458984375,3.640846014022827
2020-05-28,1.655095100402832,2.9425480365753174,2.6911516189575195
2020-05-29,3.5822067260742188,4.097659587860107,5.438014984130859
2020-05-30,2.71120548248291,3.1615047454833984,3.237178087234497
2020-05-31,2.005028009414673,2.818364143371582,2.753593683242798
2020-06-01,2.7024574279785156,3.456864595413208,6.203517913818359
2020-06-02,3.218501091003418,3.238299608230591,4.924424648284912
2020-06-03,4.392358779907227,4.156917095184326,4.472112655639648
2020-06-04,2.8451452255249023,3.1907527446746826,3.864764451980591
2020-06-05,3.7689030170440674,2.8430964946746826,2.1079304218292236
2020-06-06,2.1614673137664795,2.588942766189575,1.5544257164001465
2020-06-07,1.5232630968093872,2.530447244644165,1.6960992813110352
2020-06-08,3.116382360458374,3.392354965209961,4.160277843475342
2020-06-09,3.4808037281036377,3.629169225692749,6.11314058303833
2020-06-10,5.351840496063232,4.460849285125732,7.296487331390381
2020-06-11,2.5462305545806885,2.452263116836548,3.724090576171875
2020-06-12,2.3444206714630127,2.1768691539764404,3.330226182937622
2020-06-13,3.344686508178711,2.552964925765991,3.659269332885742
2020-06-14,3.032870292663574,2.4818737506866455,4.121004581451416
2020-06-15,5.561561584472656,3.8742072582244873,7.988968372344971
2020-06-16,6.210407257080078,3.956462860107422,6.110733509063721
2020-06-17,3.2368228435516357,3.0835609436035156,3.57678484916687
2020-06-18,4.151073455810547,4.076542377471924,5.445398330688477
2020-06-19,4.0528435707092285,4.174171447753906,6.337554931640625
2020-06-20,3.771482229232788,4.139880657196045,6.065074920654297
2020-06-21,2.149409532546997,3.4838874340057373,4.24343729019165
2020-06-22,2.7964420318603516,4.257397174835205,5.161135673522949
2020-06-23,4.593080520629883,4.890980243682861,6.131433010101318
2020-06-24,6.74731969833374,6.420800685882568,7.810117244720459
2020-06-25,8.714909553527832,6.467159748077393,8.541991233825684
2020-06-26,9.518742561340332,7.618419170379639,10.903973579406738
2020-06-27,10.96018123626709,7.329233169555664,10.9559326171875
2020-06-28,2.51171875,4.241781711578369,4.435081481933594
2020-06-29,1.844119668006897,3.712942123413086,2.7604172229766846
2020-06-30,0.8167386651039124,2.6559829711914062,1.449994683265686
2020-07-01,1.5450916290283203,2.0176851749420166,2.062394142150879
2020-07-02,1.446273922920227,1.9892090559005737,2.141784429550171
2020-07-03,1.0483096837997437,1.7191106081008911,1.5383458137512207
2020-07-04,1.1058692932128906,1.6395196914672852,1.2031006813049316
2020-07-05,1.3498538732528687,1.5983165502548218,0.9909119606018066
2020-07-06,0.9090648293495178,1.01612389087677,0.562056839466095
2020-07-07,0.8320820927619934,1.0904273986816406,0.9419055581092834
2020-07-08,0.9711917042732239,1.1718451976776123,1.0556917190551758
2020-07-09,1.4362324476242065,1.7073793411254883,2.0000321865081787
2020-07-10,2.987041473388672,3.3617751598358154,4.9603800773620605
2020-07-11,2.5538225173950195,2.572721004486084,3.8417508602142334
2020-07-12,0.9861957430839539,1.4693740606307983,1.2042485475540161
2020-07-13,1.5680359601974487,2.2381114959716797,1.9508781433105469
2020-07-14,1.2249144315719604,3.0362699031829834,1.1892577409744263
2020-07-15,1.6619313955307007,2.8455307483673096,2.4602530002593994
2020-07-16,1.5136704444885254,3.1701529026031494,3.43412184715271
2020-07-17,3.700845718383789,3.2225341796875,2.935847043991089
2020-07-18,4.939554691314697,4.610137939453125,2.503499984741211
2020-07-19,1.5005735158920288,2.964315414428711,0.9604983329772949
2020-07-20,2.332946538925171,2.6453287601470947,3.020491361618042
2020-07-21,1.155065894126892,1.539865493774414,1.504156470298767
2020-07-22,1.137466549873352,1.721833348274231,1.4762672185897827
2020-07-23,1.1715997457504272,1.9346065521240234,1.9452420473098755
2020-07-24,2.393725872039795,2.7463181018829346,2.1885902881622314
2020-07-25,2.2138469219207764,2.9169838428497314,2.95727801322937
2020-07-26,2.1423935890197754,3.013127565383911,2.508028030395508
2020-07-27,2.888665199279785,3.105963706970215,3.197432279586792
2020-07-28,2.0971429347991943,2.792337417602539,1.8239809274673462
2020-07-29,0.9288101196289062,2.815946578979492,1.1145249605178833
2020-07-30,2.224689245223999,3.2072336673736572,3.4139928817749023
2020-07-31,3.0865185260772705,2.9714467525482178,3.402785062789917
2020-08-01,4.522045135498047,4.565769672393799,7.852848052978516
2020-08-02,3.4328606128692627,3.814725875854492,3.898656129837036
2020-08-03,1.1793912649154663,2.0414724349975586,2.660254955291748
2020-08-04,1.8583568334579468,2.824859619140625,3.8696811199188232
2020-08-05,2.1583588123321533,3.4962685108184814,1.6624422073364258
2020-08-06,10.781193733215332,6.827088832855225,11.288262367248535
2020-08-07,19.56553840637207,8.858037948608398,23.407712936401367
2020-08-08,17.153701782226562,8.213264465332031,19.412656784057617
2020-08-09,8.713339805603027,5.723429203033447,8.561623573303223
2020-08-10,2.8357088565826416,2.7630670070648193,4.072892665863037
2020-08-11,6.224891662597656,4.180727005004883,8.736640930175781
2020-08-12,6.236395359039307,4.829336166381836,8.113713264465332
2020-08-13,5.628490447998047,4.6910786628723145,7.759644985198975
2020-08-14,11.03269100189209,6.52501106262207,13.954784393310547
2020-08-15,3.8328332901000977,4.652125835418701,9.221099853515625
2020-08-16,3.558032989501953,5.007675647735596,13.292137145996094
2020-08-17,14.401374816894531,8.547924995422363,21.480995178222656
