date,EMEP,ENSEMBLE,EURAD-IM
2020-05-24,1.2145365476608276,2.246649980545044,1.1531150341033936
2020-05-25,2.861009359359741,3.826735258102417,2.1664369106292725
2020-05-26,4.836509704589844,5.513340473175049,5.195178508758545
2020-05-27,3.44183349609375,5.676045894622803,3.4553005695343018
2020-05-28,3.3447506427764893,4.716768264770508,5.218816757202148
2020-05-29,3.179295778274536,4.799649238586426,4.0643391609191895
2020-05-30,3.9237101078033447,4.40781831741333,3.6576004028320312
2020-05-31,4.18633508682251,4.476200580596924,3.664144277572632
2020-06-01,4.523309230804443,4.979323863983154,5.252132892608643
2020-06-02,6.228356838226318,5.53435754776001,4.597236156463623
2020-06-03,7.890285491943359,5.388316631317139,4.684875011444092
2020-06-04,1.7974551916122437,2.859020948410034,1.1782779693603516
2020-06-05,3.22680401802063,2.984943389892578,1.9626291990280151
2020-06-06,1.9885238409042358,2.669008255004883,2.0635876655578613
2020-06-07,2.3134517669677734,2.8071861267089844,2.2038075923919678
2020-06-08,1.6046180725097656,2.016838312149048,1.2516566514968872
2020-06-09,2.6276533603668213,3.1035916805267334,2.758883476257324
2020-06-10,3.6775963306427,3.882951021194458,3.279165267944336
2020-06-11,4.029738426208496,3.7626473903656006,3.6750221252441406
2020-06-12,3.508563280105591,3.0120620727539062,2.8082211017608643
2020-06-13,4.347657680511475,3.489849328994751,3.651576280593872
2020-06-14,3.4183340072631836,4.302070140838623,3.930562973022461
2020-06-15,7.085840702056885,5.038331508636475,5.01730489730835
2020-06-16,10.237896919250488,6.590042591094971,7.969288349151611
2020-06-17,9.078612327575684,7.078464508056641,9.00225830078125
2020-06-18,7.030265808105469,6.815301895141602,8.424338340759277
2020-06-19,7.752800464630127,6.012152194976807,6.457918643951416
2020-06-20,3.264007568359375,4.284496784210205,3.493685722351074
2020-06-21,2.6507632732391357,3.7055675983428955,3.8374664783477783
2020-06-22,3.5697174072265625,4.5978875160217285,3.5776302814483643
2020-06-23,5.506947994232178,5.243554592132568,3.760061502456665
2020-06-24,8.761199951171875,6.742276668548584,6.5067596435546875
2020-06-25,7.452664852142334,6.786869525909424,8.039093971252441
2020-06-26,7.09151029586792,5.811830520629883,8.045551300048828
2020-06-27,6.322896480560303,5.45599889755249,8.256287574768066
2020-06-28,1.2171778678894043,3.126638650894165,2.4479920864105225
2020-06-29,1.174187421798706,2.4413156509399414,1.5395342111587524
2020-06-30,1.5514960289001465,2.6282551288604736,1.6548075675964355
2020-07-01,1.221854329109192,1.9186280965805054,0.9105125069618225
2020-07-02,0.9690704345703125,1.5664024353027344,1.1788896322250366
2020-07-03,0.9866657257080078,1.9234238862991333,1.3863509893417358
2020-07-04,1.7015436887741089,2.2166059017181396,2.045705556869507
2020-07-05,1.0785397291183472,1.4178444147109985,0.8596136569976807
2020-07-06,1.247815489768982,2.251640796661377,0.9465330243110657
2020-07-07,0.9935008883476257,1.5831371545791626,0.7601085305213928
2020-07-08,1.381630778312683,2.56160306930542,1.447466492652893
2020-07-09,1.5882829427719116,2.4419023990631104,1.3249982595443726
2020-07-10,2.071704864501953,2.6349050998687744,1.8727761507034302
2020-07-11,1.2015897035598755,2.440464735031128,0.908769428730011
2020-07-12,1.1979154348373413,2.721034049987793,1.4877866506576538
2020-07-13,1.3667651414871216,2.936284303665161,1.138988971710205
2020-07-14,1.57716703414917,2.472792625427246,1.9551178216934204
2020-07-15,2.731268882751465,3.40637469291687,3.5855867862701416
2020-07-16,2.2684054374694824,2.9694983959198,2.5125725269317627
2020-07-17,1.7177581787109375,2.70272159576416,1.301547646522522
2020-07-18,1.8217724561691284,2.610862970352173,1.7672853469848633
2020-07-19,2.060716390609741,3.260594367980957,1.6601905822753906
2020-07-20,1.4103435277938843,2.9420642852783203,1.1594995260238647
2020-07-21,1.1725026369094849,2.5029542446136475,1.7792555093765259
2020-07-22,1.6394829750061035,2.4622857570648193,2.1137590408325195
2020-07-23,2.169870376586914,2.9308907985687256,2.4865379333496094
2020-07-24,1.9347206354141235,2.514777421951294,1.8884059190750122
2020-07-25,2.286149740219116,2.70243239402771,2.3320016860961914
2020-07-26,1.2137373685836792,1.7053464651107788,1.2678987979888916
2020-07-27,1.0799483060836792,1.9084221124649048,1.1515296697616577
2020-07-28,0.9224145412445068,1.4044831991195679,0.6028979420661926
2020-07-29,2.0774033069610596,2.853977918624878,1.5194902420043945
2020-07-30,2.1469924449920654,3.332965135574341,3.0745766162872314
2020-07-31,3.6825573444366455,3.7165305614471436,4.707724094390869
2020-08-01,2.836848497390747,2.8675155639648438,2.216843605041504
2020-08-02,1.6746430397033691,3.320783853530884,2.2783987522125244
2020-08-03,1.8393425941467285,3.730722188949585,1.4352192878723145
2020-08-04,1.4657597541809082,3.215367078781128,0.9496557116508484
2020-08-05,1.0807815790176392,2.3904459476470947,1.350293517112732
2020-08-06,2.704848527908325,4.151401996612549,4.608537197113037
2020-08-07,4.043221950531006,3.986151933670044,3.6981334686279297
2020-08-08,3.5734033584594727,3.6255741119384766,6.093292236328125
2020-08-09,1.5461419820785522,2.4148056507110596,1.77646005153656
2020-08-10,3.561724901199341,4.117855548858643,4.553783416748047
2020-08-11,5.3245391845703125,5.3100361824035645,6.8568243980407715
2020-08-12,8.521992683410645,6.263762950897217,10.6954984664917
2020-08-13,7.654984951019287,6.789208889007568,10.636075019836426
2020-08-14,2.6418209075927734,3.787672758102417,5.703026294708252
2020-08-15,2.349113702774048,4.028714656829834,6.521390914916992
2020-08-16,3.006646156311035,5.264578342437744,7.374964237213135
